 ,Area,Mean,Min,Max,X,Y
1,0.000,255,255,255,4.400,6.267
2,0.000,255,255,255,4.867,6.144
3,0.000,255,255,255,4.300,5.744
4,0.000,255,255,255,2.811,5.900
5,0.000,163,163,163,4.733,5.950
6,0.000,255,255,255,3.433,5.900
7,0.000,255,255,255,1.989,5.889
8,0.000,255,255,255,2.222,5.867
9,0.000,255,255,255,3.078,5.678
10,0.000,255,255,255,5.178,5.778
11,0.000,255,255,255,4.644,5.711
12,0.000,255,255,255,2.467,5.711
13,0.000,255,255,255,3.878,5.644
14,0.000,255,255,255,4.967,5.456
15,0.000,255,255,255,3.400,5.589
16,0.000,255,255,255,5.467,5.111
17,0.000,255,255,255,4.600,5.011
18,0.000,218,218,218,5.006,5.644
19,0.000,255,255,255,1.956,5.344
20,0.000,254,254,254,1.517,5.483
21,0.000,255,255,255,3.744,5.333
22,0.000,255,255,255,3.011,5.211
23,0.000,255,255,255,2.267,5.144
24,0.000,255,255,255,1.489,5.167
25,0.000,255,255,255,4.333,5.056
26,0.000,255,255,255,6.067,4.867
27,0.000,255,255,255,3.278,5.000
28,0.000,255,255,255,1.967,5.044
29,0.000,255,255,255,5.844,4.989
30,0.000,255,255,255,2.744,4.911
31,0.000,255,255,255,5.667,4.911
32,0.000,255,255,255,4.200,4.856
33,0.000,255,255,255,1.844,4.856
34,0.000,255,255,255,3.100,4.800
35,0.000,255,255,255,2.211,4.778
36,0.000,255,255,255,0.933,4.789
37,0.000,255,255,255,3.678,4.656
38,0.000,255,255,255,1.544,4.733
39,0.000,255,255,255,5.394,4.633
40,0.000,255,255,255,5.867,4.656
41,0.000,255,255,255,4.200,4.556
42,0.000,255,255,255,2.900,4.444
43,0.000,255,255,255,3.356,4.478
44,0.000,255,255,255,1.422,4.433
45,0.000,255,255,255,5.456,4.311
46,0.000,255,255,255,5.011,4.211
47,0.000,255,255,255,1.211,4.244
48,0.000,255,255,255,4.567,4.122
49,0.000,255,255,255,3.867,4.222
50,0.000,255,255,255,6.289,4.133
51,0.000,255,255,255,3.200,4.067
52,0.000,255,255,255,2.544,4.078
53,0.000,215,215,215,5.911,4.139
54,0.000,255,255,255,1.278,4.000
55,0.000,255,255,255,2.244,3.956
56,0.000,255,255,255,5.156,3.933
57,0.000,255,255,255,4.522,3.900
58,0.000,255,255,255,2.678,3.878
59,0.000,255,255,255,4.144,3.822
60,0.000,255,255,255,3.617,3.400
61,0.000,255,255,255,6.411,3.744
62,0.000,255,255,255,5.717,4.489
63,0.000,165,165,165,0.711,3.772
64,0.000,255,255,255,6.256,3.656
65,0.000,255,255,255,1.344,3.700
66,0.000,255,255,255,1.811,3.678
67,0.000,239,239,239,5.867,3.700
68,0.000,255,255,255,2.100,3.656
69,0.000,232,232,232,4.844,3.439
70,0.000,255,255,255,2.933,3.456
71,0.000,255,255,255,5.378,3.289
72,0.000,255,255,255,2.411,3.489
73,0.000,255,255,255,0.956,3.489
74,0.000,255,255,255,4.444,3.411
75,0.000,255,255,255,3.233,3.400
76,0.000,255,255,255,2.533,3.378
77,0.000,255,255,255,0.844,3.389
78,0.000,255,255,255,6.389,3.333
79,0.000,255,255,255,1.889,3.311
80,0.000,255,255,255,1.411,3.278
81,0.000,255,255,255,6.000,3.044
82,0.000,255,255,255,2.078,3.189
83,0.000,255,255,255,1.478,3.178
84,0.000,255,255,255,5.033,3.111
85,0.000,255,255,255,6.556,3.144
86,0.000,255,255,255,0.778,3.133
87,0.000,255,255,255,3.211,3.100
88,0.000,255,255,255,4.267,2.944
89,0.000,255,255,255,2.867,3.011
90,0.000,255,255,255,3.978,3.022
91,0.000,255,255,255,3.578,2.867
92,0.000,255,255,255,2.478,2.889
93,0.000,255,255,255,4.744,2.756
94,0.000,255,255,255,5.456,2.889
95,0.000,255,255,255,1.267,2.900
96,0.000,255,255,255,6.378,2.878
97,0.000,255,255,255,5.333,2.722
98,0.000,222,222,222,5.883,2.633
99,0.000,255,255,255,2.978,2.589
100,0.000,255,255,255,1.789,2.678
101,0.000,255,255,255,3.844,2.578
102,0.000,255,255,255,4.278,2.567
103,0.000,255,255,255,4.933,2.489
104,0.000,255,255,255,4.100,2.478
105,0.000,255,255,255,1.600,2.533
106,0.000,255,255,255,4.733,2.378
107,0.000,255,255,255,3.422,2.300
108,0.000,255,255,255,2.611,2.233
109,0.000,255,255,255,2.333,2.211
110,0.000,255,255,255,1.311,2.211
111,0.000,255,255,255,2.922,2.189
112,0.000,255,255,255,4.156,2.133
113,0.000,255,255,255,5.544,2.078
114,0.000,164,164,164,6.117,2.128
115,0.000,255,255,255,3.422,2.056
116,0.000,255,255,255,5.311,2.067
117,0.000,255,255,255,4.700,2.011
118,0.000,255,255,255,4.356,2.000
119,0.000,138,138,138,3.944,1.789
120,0.000,255,255,255,2.900,1.822
121,0.000,255,255,255,3.278,1.767
122,0.000,255,255,255,5.289,1.778
123,0.000,255,255,255,6.000,1.767
124,0.000,255,255,255,5.278,1.633
125,0.000,255,255,255,6.067,1.567
126,0.000,255,255,255,3.622,1.522
127,0.000,255,255,255,4.678,1.489
128,0.000,255,255,255,4.200,1.444
129,0.000,255,255,255,3.333,1.433
130,0.000,255,255,255,5.544,1.322
131,0.000,255,255,255,3.633,1.322
132,0.000,254,254,254,5.189,5.511
133,0.000,254,254,254,1.156,4.811
134,0.000,254,254,254,2.367,1.744
135,0.000,254,254,254,5.767,1.700
136,0.000,254,254,254,3.267,1.567
137,0.000,252,252,252,3.144,6.256
138,0.000,252,252,252,5.067,4.022
139,0.000,252,252,252,1.133,3.711
140,0.000,252,252,252,2.100,1.733
141,0.000,251,251,251,3.000,5.400
142,0.000,251,251,251,4.067,5.211
143,0.000,251,251,251,0.922,4.556
144,0.000,251,251,251,5.111,1.578
145,0.000,250,250,250,1.611,2.878
146,0.000,250,250,250,0.489,2.644
147,0.000,250,250,250,0.922,1.933
148,0.000,249,249,249,3.933,1.289
149,0.000,249,249,249,4.867,1.122
150,0.000,248,248,248,3.956,6.344
151,0.000,248,248,248,2.056,2.178
152,0.000,248,248,248,2.389,0.800
153,0.000,192,192,192,0.750,4.367
154,0.000,247,247,247,0.378,3.011
155,0.000,247,247,247,1.267,1.678
156,0.000,246,246,246,4.656,6.156
157,0.000,246,246,246,3.567,5.100
158,0.000,175,175,175,0.706,2.661
159,0.000,246,246,246,2.278,2.644
160,0.000,246,246,246,2.556,2.067
161,0.000,246,246,246,1.700,1.767
162,0.000,246,246,246,2.967,1.556
163,0.000,245,245,245,2.278,1.156
164,0.000,245,245,245,4.256,0.644
165,0.000,244,244,244,1.156,3.322
166,0.000,244,244,244,2.011,0.944
167,0.000,243,243,243,0.967,5.167
168,0.000,243,243,243,2.833,1.878
169,0.000,243,243,243,1.156,1.533
170,0.000,243,243,243,5.444,1.089
171,0.000,241,241,241,4.644,1.044
172,0.000,240,240,240,1.833,2.133
173,0.000,240,240,240,2.211,0.867
174,0.000,239,239,239,4.178,6.411
175,0.000,238,238,238,0.856,4.944
176,0.000,243,243,243,6.067,2.889
177,0.000,238,238,238,1.178,2.744
178,0.000,237,237,237,1.722,5.733
179,0.000,236,236,236,0.344,3.833
180,0.000,236,236,236,5.856,3.444
181,0.000,236,236,236,0.511,2.967
182,0.000,236,236,236,4.622,1.344
183,0.000,217,217,217,6.306,2.361
184,0.000,234,234,234,2.689,1.311
185,0.000,234,234,234,1.789,1.133
186,0.000,234,234,234,3.767,1.022
187,0.000,233,233,233,4.178,1.056
188,0.000,232,232,232,2.800,1.311
189,0.000,232,232,232,1.933,0.967
190,0.000,231,231,231,0.911,3.256
191,0.000,231,231,231,0.778,2.111
192,0.000,231,231,231,1.311,2.022
193,0.000,231,231,231,3.444,1.056
194,0.000,230,230,230,1.622,4.444
195,0.000,229,229,229,3.367,6.467
196,0.000,234,234,234,5.933,4.344
197,0.000,229,229,229,0.500,3.389
198,0.000,228,228,228,1.733,4.000
199,0.000,228,228,228,3.233,0.744
200,0.000,227,227,227,0.411,4.278
201,0.000,226,226,226,2.967,0.967
202,0.000,225,225,225,1.789,3.122
203,0.000,225,225,225,1.389,1.067
204,0.000,224,224,224,4.111,5.722
205,0.000,224,224,224,1.089,3.989
206,0.000,224,224,224,5.144,0.967
207,0.000,224,224,224,3.700,0.744
208,0.000,222,222,222,0.300,2.844
209,0.000,222,222,222,0.722,1.678
210,0.000,221,221,221,0.656,4.900
211,0.000,221,221,221,2.778,1.644
212,0.000,221,221,221,2.456,1.256
213,0.000,220,220,220,0.400,2.378
214,0.000,220,220,220,2.122,0.744
215,0.000,217,217,217,0.756,1.811
216,0.000,216,216,216,2.389,0.511
217,0.000,215,215,215,2.978,0.567
218,0.000,214,214,214,0.844,1.611
219,0.000,214,214,214,5.000,0.744
220,0.000,210,210,210,1.578,0.756
221,0.000,208,208,208,0.300,2.056
222,0.000,207,207,207,2.789,0.956
223,0.000,164,164,164,3.846,6.089
224,0.000,206,206,206,0.233,2.556
225,0.000,201,201,201,1.133,1.100
226,0.000,199,199,199,0.633,4.700
227,0.000,209,209,209,2.022,4.056
228,0.000,194,194,194,3.222,0.422
229,0.000,193,193,193,1.733,1.033
230,0.000,242,242,242,5.056,4.611
231,0.000,250,250,250,4.683,4.861
232,0.000,251,251,251,5.150,5.044
233,0.000,204,204,204,4.567,4.572
234,0.000,255,255,255,4.250,4.222
235,0.000,197,197,197,6.289,4.528
236,0.000,255,255,255,5.656,5.278
237,0.000,168,168,168,0.794,1.439
238,0.000,183,183,183,3.672,0.517
239,0.000,228,228,228,5.539,3.156
240,0.000,241,241,241,5.556,4.028
241,0.000,232,232,232,3.683,3.778
242,0.000,248,248,248,4.306,6.028
243,0.000,161,161,161,5.894,2.456
244,0.000,125,125,125,3.329,0.061
245,0.000,139,139,139,3.400,6.724
246,0.000,108,108,108,6.765,3.324
247,0.000,202,202,202,0.046,3.385
