 ,Area,Mean,Min,Max,X,Y
1,0.000,122,122,122,10.556,5.852
2,0.000,191,191,191,11.463,7.167
3,0.000,200,200,200,12.302,6.253
4,0.000,83,83,83,12.722,5.241
5,0.000,89,89,89,13.981,5.660
6,0.000,133,133,133,13.586,4.772
7,0.000,116,116,116,14.722,6.056
8,0.000,161,161,161,13.586,5.858
9,0.000,124,124,124,13.907,6.426
10,0.000,170,170,170,13.537,7.290
11,0.000,77,77,77,12.747,7.340
12,0.000,98,98,98,13.315,7.759
13,0.000,127,127,127,12.352,8.426
14,0.000,158,158,158,11.142,9.241
15,0.000,187,187,187,11.932,9.981
16,0.000,31,31,31,14.426,8.747
17,0.000,237,237,237,15.043,8.994
18,0.000,136,136,136,15.562,7.809
19,0.000,142,142,142,16.352,9.438
20,0.000,227,227,227,16.105,8.525
21,0.000,116,116,116,16.525,10.599
22,0.000,205,205,205,14.302,10.525
23,0.000,119,119,119,15.710,11.019
24,0.000,172,172,172,16.377,11.364
25,0.000,208,208,208,15.265,12.056
26,0.000,87,87,87,14.105,11.562
27,0.000,61,61,61,16.648,12.006
28,0.000,168,168,168,16.969,13.315
29,0.000,71,71,71,15.907,14.105
30,0.000,224,224,224,14.031,12.648
31,0.000,236,236,236,14.327,14.549
32,0.000,137,137,137,13.315,13.364
33,0.000,252,252,252,11.932,13.685
34,0.000,69,69,69,12.895,11.611
35,0.000,164,164,164,11.093,11.093
36,0.000,104,104,104,11.759,12.895
37,0.000,218,218,218,10.006,12.870
38,0.000,255,255,255,9.685,11.488
39,0.000,142,142,142,10.525,9.858
40,0.000,175,175,175,9.315,9.512
41,0.000,101,101,101,8.599,10.673
42,0.000,80,80,80,8.105,8.500
43,0.000,85,85,85,7.389,8.698
44,0.000,53,53,53,8.377,9.512
45,0.000,33,33,33,10.401,14.377
46,0.000,152,152,152,12.302,14.994
47,0.000,127,127,127,12.698,14.451
48,0.000,179,179,179,11.809,14.500
49,0.000,204,204,204,13.636,14.377
50,0.000,112,112,112,11.660,16.525
51,0.000,191,191,191,10.920,16.130
52,0.000,155,155,155,12.031,17.389
53,0.000,228,228,228,12.846,16.352
54,0.000,168,168,168,13.660,16.673
55,0.000,75,75,75,13.463,17.265
56,0.000,255,255,255,14.574,16.031
57,0.000,196,196,196,14.846,16.623
58,0.000,204,204,204,15.809,15.290
59,0.000,215,215,215,16.920,14.500
60,0.000,190,190,190,17.611,13.883
61,0.000,120,120,120,18.204,14.648
62,0.000,57,57,57,18.080,13.093
63,0.000,147,147,147,18.056,11.833
64,0.000,163,163,163,18.056,10.648
65,0.000,194,194,194,18.796,11.068
66,0.000,61,61,61,18.969,10.327
67,0.000,201,201,201,18.105,9.216
68,0.000,152,152,152,18.451,8.105
69,0.000,143,143,143,20.006,9.907
70,0.000,77,77,77,20.944,9.019
71,0.000,192,192,192,20.080,8.870
72,0.000,222,222,222,22.105,10.031
73,0.000,221,221,221,21.216,10.475
74,0.000,128,128,128,20.130,11.463
75,0.000,155,155,155,21.512,11.611
76,0.000,134,134,134,22.549,11.216
77,0.000,154,154,154,22.426,12.130
78,0.000,165,165,165,8.451,12.623
79,0.000,67,67,67,7.735,11.488
80,0.000,187,187,187,7.019,10.821
81,0.000,116,116,116,8.969,13.512
82,0.000,89,89,89,8.253,14.599
83,0.000,101,101,101,9.142,14.747
84,0.000,34,34,34,9.340,15.636
85,0.000,115,115,115,8.253,16.599
86,0.000,52,52,52,9.093,17.167
87,0.000,177,177,177,10.574,17.216
88,0.000,37,37,37,10.870,18.031
89,0.000,218,218,218,9.167,18.204
90,0.000,146,146,146,10.846,19.389
91,0.000,30,30,30,10.154,18.475
92,0.000,88,88,88,12.327,18.475
93,0.000,196,196,196,13.562,18.500
94,0.000,174,174,174,13.142,19.265
95,0.000,93,93,93,14.352,19.364
96,0.000,228,228,228,15.142,18.648
97,0.000,185,185,185,16.278,18.352
98,0.000,181,181,181,18.080,17.093
99,0.000,120,120,120,17.389,16.500
100,0.000,107,107,107,18.623,15.883
101,0.000,147,147,147,20.130,14.623
102,0.000,125,125,125,20.451,13.043
103,0.000,156,156,156,19.315,13.142
104,0.000,130,130,130,16.253,5.636
105,0.000,39,39,39,15.636,6.179
106,0.000,120,120,120,6.080,9.957
107,0.000,140,140,140,6.870,15.981
108,0.000,164,164,164,19.710,16.698
109,0.000,113,113,113,12.154,0.722
110,0.000,68,68,68,12.648,22.574
111,0.000,62,62,62,1.093,11.562
112,0.000,167,167,167,23.660,11.611
