 ,Area,Mean,Min,Max,X,Y
1,0.000,218,218,218,10.182,6.102
2,0.000,211,211,211,4.341,6.205
3,0.000,209,209,209,5.818,3.261
4,0.000,208,208,208,10.989,8.273
5,0.000,208,208,208,13.205,4.761
6,0.000,208,208,208,4.920,3.602
7,0.000,207,207,207,10.295,9.920
8,0.000,207,207,207,11.489,7.591
9,0.000,206,206,206,11.932,6.057
10,0.000,205,205,205,11.909,7.398
11,0.000,204,204,204,11.614,7.091
12,0.000,202,202,202,7.784,8.898
13,0.000,201,201,201,9.170,9.795
14,0.000,201,201,201,9.955,6.466
15,0.000,201,201,201,2.420,4.898
16,0.000,201,201,201,12.273,2.807
17,0.000,200,200,200,12.761,7.489
18,0.000,200,200,200,5.455,1.091
19,0.000,199,199,199,8.580,8.989
20,0.000,199,199,199,11.080,2.443
21,0.000,199,199,199,8.977,1.989
22,0.000,199,199,199,4.386,1.409
23,0.000,199,199,199,7.807,1.125
24,0.000,198,198,198,12.716,7.807
25,0.000,198,198,198,9.148,6.784
26,0.000,198,198,198,8.034,1.409
27,0.000,197,197,197,12.841,6.864
28,0.000,197,197,197,12.125,4.534
29,0.000,197,197,197,5.341,1.750
30,0.000,196,196,196,11.193,9.920
31,0.000,196,196,196,12.023,9.443
32,0.000,196,196,196,11.636,8.034
33,0.000,196,196,196,13.648,6.966
34,0.000,196,196,196,12.080,5.636
35,0.000,196,196,196,6.170,1.398
36,0.000,195,195,195,7.898,7.875
37,0.000,195,195,195,2.466,5.693
38,0.000,195,195,195,2.500,3.545
39,0.000,195,195,195,3.693,3.318
40,0.000,194,194,194,13.307,5.420
41,0.000,194,194,194,11.364,5.034
42,0.000,194,194,194,3.705,2.489
43,0.000,194,194,194,4.534,2.295
44,0.000,194,194,194,11.568,1.875
45,0.000,194,194,194,8.727,1.716
46,0.000,193,193,193,5.318,4.977
47,0.000,192,192,192,11.898,7.932
48,0.000,192,192,192,10.443,7.409
49,0.000,192,192,192,10.955,4.602
50,0.000,192,192,192,5.273,4.352
51,0.000,192,192,192,9.364,2.295
52,0.000,191,191,191,8.773,7.818
53,0.000,191,191,191,10.341,7.170
54,0.000,191,191,191,10.955,6.364
55,0.000,191,191,191,10.239,5.364
56,0.000,191,191,191,6.273,4.136
57,0.000,191,191,191,5.443,2.273
58,0.000,190,190,190,14.023,5.727
59,0.000,190,190,190,13.795,3.091
60,0.000,189,189,189,3.807,6.932
61,0.000,189,189,189,9.670,6.648
62,0.000,189,189,189,12.830,3.114
63,0.000,188,188,188,8.080,10.000
64,0.000,188,188,188,10.864,6.727
65,0.000,188,188,188,12.534,6.273
66,0.000,188,188,188,2.023,5.307
67,0.000,187,187,187,9.057,8.795
68,0.000,187,187,187,9.705,8.170
69,0.000,187,187,187,13.386,6.136
70,0.000,187,187,187,12.386,5.034
71,0.000,187,187,187,12.852,4.398
72,0.000,187,187,187,13.568,2.727
